code,name
5150,"Астрологи, гадалки и работники родственных профессий"
516,"Работники служб, осуществляющих защиту граждан и собственности"
5161,Пожарные
5162,Работники милиции
5163,Тюремные охранники
5169,"Другие работники служб, осуществляющих защиту граждан и собственности, не учтенные в предыдущих группах"
52,"Продавцы, демонстраторы товаров, натурщики и демонстраторы одежды"
521,Продавцы магазинов и демонстраторы товаров
5210,Продавцы магазинов и демонстраторы товаров
522,Продавцы палаток и рынков
5220,Продавцы палаток и рынков
523,Манекенщики и другие живые модели
5230,Манекенщики и другие живые модели
53,Рабочие жилищно-коммунального хозяйства
531,"Рабочие газового хозяйства городов, поселков и населенных пунктов"
5310,"Рабочие газового хозяйства городов, поселков и населенных пунктов"
532,Рабочие водопроводно-канализационного хозяйства
5320,Рабочие водопроводно-канализационного хозяйства
533,Рабочие зеленого хозяйства
5330,Рабочие зеленого хозяйства
534,"Рабочие, осуществляющие энергонадзор"
5340,"Рабочие, осуществляющие энергонадзор"
54,Рабочие кино- и телестудий
541,Рабочие кино- и телестудий
5410,Рабочие кино- и телестудий
55,"Рабочие, занятые на рекламно-оформительских и реставрационных работах"
551,"Рабочие, занятые на рекламно-оформительских работах"
5510,"Рабочие, занятые на рекламно-оформительских работах"
552,"Рабочие, занятые на реставрационных работах"
5520,"Рабочие, занятые на реставрационных работах"
6,"Квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства"
61,"Квалифицированные работники товарного сельскохозяйственного производства, лесного, охотничьего хозяйств, рыбоводства и рыболовства, имеющие рыночную ориентацию"
611,"Товарные производители огородных, плодовых и полевых культур рыночной ориентации"
6111,Полеводы и овощеводы
6112,"Садоводы по выращиванию культур, произрастающих на деревьях и кустарниках"
6113,"Садовники, садоводы и другие работники плодопитомников"
6114,Производители смешанной сельскохозяйственной продукции
612,Товарные производители продукции животноводства рыночной ориентации
6121,Работники (фермеры) по производству молочной и животноводческой продукции
6122,Работники (фермеры) по производству домашней птицы
6123,Работники (фермеры) по производству пчел и шелковичных червей
6124,Производители смешанной животноводческой продукции
6129,"Производители продуктов животноводства, не вошедшие в другие группы"
613,Товарные производители сельскохозяйственных культур и животноводы рыночной ориентации
6130,Товарные производители сельскохозяйственных культур и животноводы рыночной ориентации
614,"Работники лесного хозяйства, лесозаготовители и работники родственных профессий рыночной ориентации"
6142,Выжигальщики древесного угля и рабочие родственных профессий
615,"Работники рыбоводства и рыболовства, охотники- стрелки и охотники-трапперы (капканщики) рыночной ориентации"
6151,Мариводы
6152,"Работники, занятые рыболовством во внутренних водоемах и прибрежным ловом"
6153,"Работники, занятые рыболовством в глубоководной зоне"
6154,Охотники-стрелки и охотники-трапперы (капканщики)
62,"Квалифицированные работники сельскохозяйственного производства, лесного, охотничьего хозяйств, рыбоводства и рыболовства, производящие продукцию для личного потребления"
621,"Квалифицированные работники сельскохозяйственного производства, лесного, охотничьего хозяйств, рыбоводства и рыболовства, производящие продукцию для личного потребления"
6210,"Квалифицированные работники сельскохозяйственного производства, лесного, охотничьего хозяйств, рыбоводства и рыболовства, производящие продукцию для личного потребления"
7,"Квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр"
71,"Рабочие, занятые на горных, горнокапитальных и на строительно-монтажных и ремонтно-строительных работах"
711,"Горнорабочие и рабочие других профессий по добыче полезных ископаемых подземным и открытым способами, взрывники, камнетесы, обработчики камня и родственные профессии"
7111,Горнорабочие и рабочие других профессий по добыче полезных ископаемых подземным и открытым способами
7112,Взрывники
7113,Камнетесы и обработчики камня
712,Строители-монтажники и родственные профессии
7121,"Строители, использующие традиционные материалы для возведения зданий и сооружений"
7122,Каменщики (по кирпичу и камню) и плиточники
7123,"Бетоноукладчики, бетоноотделочники и мозаичники по бетону типа ""терраццо"""
7124,"Плотники и столяры, кровельщики"
7129,"Строители-монтажники и рабочие родственных профессий, не вошедшие в другие группы"
713,Рабочие-отделочники на строительных и ремонтно- строительных работах и родственные профессии
7131,Кровельщики
7132,Паркетчики и настильщики полов
7133,Штукатуры
7134,Укладчики тепло- и акустической изоляции
7135,Стекольщики
7136,Монтажники и слесари санитарно-технического оборудования и слесари-трубопроводчики
7137,"Слесари и электрослесари строительные, электромонтажники и родственные профессии"
7138,"Маляры, рабочие по очистке поверхностей зданий и сооружений и родственные профессии"
